comarca,serventia,codigo_serventia,colunas_nao_correspondentes
CATALAO,"2a VARA CRIMINAL (CRIMES EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI E CRIMES ENVOLVENDO VIOLENCIA DOMESTICA)",83859,
CATALAO,2a VARA DE FAMILIA E DA INFANCIA E DA JUVENTUDE,87321,
CATALAO,2o JUIZADO ESPECIAL CIVEL E CRIMINAL,13724,
CATALAO,VARA DE FAZENDAS PUBLICAS E REGISTROS PUBLICOS,86177,
CAVALCANTE,VARA JUDICIAL,11616,
CERES,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",11496,
CERES,"2aVARA (CIV, CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI DAS FAZ. PUB. E DE REG. PUB.)",11500,
CERES,CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83809,
CERES,JUIZADO ESPECIAL CIVEL E CRIMINAL,13828,
CIDADE OCIDENTAL,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",13161,
CIDADE OCIDENTAL,1o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83781,
CIDADE OCIDENTAL,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",13300,
CIDADE OCIDENTAL,3o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83783,
CIDADE OCIDENTAL,9o CEJUSC REGIONAL VIRTUAL DO INTERIOR,88294,
CIDADE OCIDENTAL,JUIZADO ESPECIAL CIVEL E CRIMINAL,11619,
CIDADE OCIDENTAL,VARA CRIMINAL,14597,
CRISTALINA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",11502,
CRISTALINA,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",11503,
CRISTALINA,VARA CRIMINAL,14599,
CRIXAS,VARA JUDICIAL,73178,
FORMOSA,1a VARA (CIVEL E DA INF. E DA JUV.),11512,
FORMOSA,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUCOES PENAIS)",11524,
FORMOSA,2a VARA CIVEL E FAMILIA E SUCESSOES,11515,
FORMOSA,2a VARA CRIMINAL (CRIMES EM GERAL E VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER),13171,
FORMOSA,3a VARA CIVEL E FAMILIA E SUCESSOES,79340,
FORMOSA,3a VARA CRIMINAL (CRIMES EM GERAL E VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER),79341,
FORMOSA,8o CEJUSC REGIONAL VIRTUAL DO INTERIOR,88293,
FORMOSA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11518,
FORMOSA,"VARA DE FAZENDAS PUBLICAS, REGISTROS PUBLICOS E AMBIENTAL",83860,
FORMOSA,VARA REGIONAL DE EXECUCAO PENAL,79342,
GOIANESIA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",11528,
GOIANESIA,1a VARA CRIMINAL (CRIMES EM GERAL E EXECUCOES PENAIS),84077,
GOIANESIA,"2a VARA CIVEL, AMBIENTAL E FAMILIA E SUCESSOES",79343,
GOIANESIA,"2a VARA CRIMINAL (CRIMES EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRESIDENCIA DO TRIBUNAL DO JURI E CRIMES ENVOLVENDO VIOLENCIA DOMESTICA)",83930,
GOIANESIA,CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83810,
GOIANESIA,JUIZADO ESPECIAL CIVEL E CRIMINAL,13799,
GOIANESIA,VARA DAS FAZENDAS PUBLICAS E REGISTROS PUBLICOS,11530,
GOIANIRA,JUIZADO ESPECIAL CIVEL E CRIMINAL,13834,
GOIANIRA,VARA CIVEL,88358,
GOIANIRA,VARA CRIMINAL,87323,
GOIANIRA,"VARA FAMILIA E SUCESSOES, DA INFANCIA E DA JUVENTUDE, FAZENDAS PUBLICAS E DE REGISTROS PUBLICOS",88359,
GOIAS,11o CEJUSC REGIONAL VIRTUAL DO INTERIOR,88731,
GOIAS,"VARA CIVEL, INFANCIA E JUVENTUDE E JUIZADO ESPECIAL CIVEL",11533,
GOIAS,"VARA CRIMINAL (CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, EXECUCAO PENAL E JUIZADO ESPECIAL CRIMINAL)",11535,
