comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,3a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,52653,
GOIANIA,2o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,52654,
AGUAS LINDAS DE GOIAS,"1a VARA DE FAZENDAS PUBLICAS, REGISTROS PUBLICOS E AMBIENTAL",73091,
CRIXAS,VARA JUDICIAL,73178,
GOIANIA,3a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,76689,
JATAI,JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,77693,
GOIANIA,4a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA E TRIBUNAL DO JURI,77694,
GOIANIA,4a VARA DA FAZENDA PUBLICA ESTADUAL,78732,
GOIANIA,5a VARA DA FAZENDA PUBLICA ESTADUAL,78733,
GOIANIA,6a VARA DA FAZENDA PUBLICA ESTADUAL,78734,
GOIANIA,4a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,78735,
GOIANIA,3o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,78736,
GOIANIA,20a VARA CIVEL,78737,
GOIANIA,21a VARA CIVEL,78738,
GOIANIA,22a VARA CIVEL,78739,
GOIANIA,23a VARA CIVEL,78740,
GOIANIA,24a VARA CIVEL E DE ARBITRAGEM,78741,
GOIANIA,25a VARA CIVEL,78742,
GOIANIA,26a VARA CIVEL,78743,
GOIANIA,27a VARA CIVEL,78744,
GOIANIA,28a VARA CIVEL,78745,
GOIANIA,29a VARA CIVEL,78746,
GOIANIA,30a VARA CIVEL,78747,
GOIANIA,31a VARA CIVEL,78748,
GOIANIA,1a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78749,
